,properties.article,geometry.coordinates,geometry.type,properties.headline,properties.group_id,properties.group_name,properties.color,properties.radius
0,<div id='movie'><h1><b>Selected Movies</b></h1><P>Certified Copy: 9 votes</p><p>Ten: 4 votes</p><p>Like Someone In Love: 2 votes</P></div>,"[51.41503, 35.68877]",Point,"Abbas Kiarostami's birthplace is Tehran, Iran.",4,Liked by more people in China,#FA3B00,3.872983346207417
1,<div id='movie'><h1><b>Selected Movies</b></h1><P>Blue Is the Warmest Color: 7 votes</P></div>,"[10.1827, 36.80001]",Point,"Abdellatif Kechiche's birthplace is Tunis, Tunisia.",4,Liked by more people in China,#FA3B00,2.6457513110645907
2,<div id='movie'><h1><b>Selected Movies</b></h1><P>Timbuktu: 9 votes</p><p>Waiting for Happiness: 2 votes</P></div>,"[-11.39289, 16.75704]",Point,"Abderrahmane Sissako's birthplace is Kiffa, Mauritania.",2,Liked by less people in China,#FADD5C,3.3166247903554
3,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Century of the Self: 1 vote</P></div>,"[0.22057, 51.44462]",Point,"Adam Curtis's birthplace is Dartford, Kent, England, UK.",2,Liked by less people in China,#FADD5C,1.0
4,<div id='movie'><h1><b>Selected Movies</b></h1><P>Anchorman: The Legend of Ron Burgundy: 1 vote</p><p>Step Brothers: 1 vote</p><p>Talladega Nights: The Ballad of Ricky Bobby: 1 vote</P></div>,"[-75.16218, 39.95222]",Point,"Adam McKay's birthplace is Philadelphia, Pennsylvania, USA.",1,Liked by more people in America,#0600AD,1.7320508075688772
5,<div id='movie'><h1><b>Selected Movies</b></h1><P>Burning Bush: 1 vote</P></div>,"[21.01037, 52.2356]",Point,"Agnieszka Holland's birthplace is Warsaw, Mazowieckie, Poland.",2,Liked by less people in China,#FADD5C,1.0
6,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Taste of Others: 1 vote</P></div>,"[2.30513, 48.75366]",Point,"Agnès Jaoui's birthplace is Antony, Hauts-de-Seine, France.",2,Liked by less people in China,#FADD5C,1.0
7,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Gleaners and I: 4 votes</P></div>,"[4.36675, 50.8326]",Point,"Agnès Varda's birthplace is Ixelles, Belgium.",2,Liked by less people in China,#FADD5C,2.0
8,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Man Without A Past: 1 vote</P></div>,"[25.73482, 60.8019]",Point,"Aki Kaurismäki's birthplace is Orimattila, Finland.",2,Liked by less people in China,#FADD5C,1.0
9,<div id='movie'><h1><b>Selected Movies</b></h1><P>Le filmeur: 1 vote</P></div>,"[1.06483, 47.79245]",Point,"Alain Cavalier's birthplace is Vendôme, Loir-et-Cher, France.",2,Liked by less people in China,#FADD5C,1.0
10,<div id='movie'><h1><b>Selected Movies</b></h1><P>Tey: 3 votes</P></div>,"[2.3414, 48.85717]",Point,"Alain Gomis's birthplace is Paris, France.",1,Liked by more people in America,#0600AD,1.7320508075688772
11,<div id='movie'><h1><b>Selected Movies</b></h1><P>Stranger by the Lake: 1 vote</P></div>,"[2.03695, 44.34884]",Point,"Alain Guiraudie's birthplace is Villefranche-de-Rouergue, Aveyron, France.",4,Liked by more people in China,#FA3B00,1.0
12,<div id='movie'><h1><b>Selected Movies</b></h1><P>You Ain’t Seen Nothin’ Yet: 1 vote</P></div>,"[-2.75985, 47.65834]",Point,"Alain Resnais's birthplace is Vannes, Morbihan, France.",4,Liked by more people in China,#FA3B00,1.0
13,<div id='movie'><h1><b>Selected Movies</b></h1><P>Story of My Death: 1 vote</P></div>,"[2.76469, 42.11714]",Point,"Albert Serra's birthplace is Banyoles, Girona, Catalonia, Spain.",2,Liked by less people in China,#FADD5C,1.0
14,<div id='movie'><h1><b>Selected Movies</b></h1><P>Birdman: 5 votes</p><p>Amores Perros: 4 votes</p><p>Babel: 1 vote</p><p>The Revenant: 1 vote</P></div>,"[-99.24024, 19.36348]",Point,"Alejandro González Iñárritu's birthplace is Mexico City, Distrito Federal, Mexico.",2,Liked by less people in China,#FADD5C,3.3166247903554
15,<div id='movie'><h1><b>Selected Movies</b></h1><P>Russian Ark: 4 votes</p><p>Alexandre Sokurov: 1 vote</P></div>,"[104.33037, 52.2827]",Point,"Aleksandr Sokurov's birthplace is Podorvikha, Irkutskaya oblast, RSFSR, USSR [now Russia].",2,Liked by less people in China,#FADD5C,2.23606797749979
16,<div id='movie'><h1><b>Selected Movies</b></h1><P>Silent Souls: 2 votes</P></div>,"[54.99803, 51.1554]",Point,"Aleksey Fedorchenko's birthplace is Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, RSFSR, USSR [now Russia].",2,Liked by less people in China,#FADD5C,1.4142135623730951
17,<div id='movie'><h1><b>Selected Movies</b></h1><P>Hard to Be a God: 2 votes</P></div>,"[30.30609, 59.93319]",Point,"Aleksey German's birthplace is Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia].",2,Liked by less people in China,#FADD5C,1.4142135623730951
18,<div id='movie'><h1><b>Selected Movies</b></h1><P>Ex Machina: 2 votes</P></div>,"[-0.12719, 51.50643]",Point,"Alex Garland's birthplace is London, England, UK.",1,Liked by more people in America,#0600AD,1.4142135623730951
19,<div id='movie'><h1><b>Selected Movies</b></h1><P>Nebraska: 3 votes</p><p>Sideways: 2 votes</p><p>The Descendants: 1 vote</P></div>,"[-95.94026, 41.26068]",Point,"Alexander Payne's birthplace is Omaha, Nebraska, USA.",2,Liked by less people in China,#FADD5C,2.449489742783178
21,<div id='movie'><h1><b>Selected Movies</b></h1><P>Belle: 1 vote</P></div>,"[-0.12996, 51.43023]",Point,"Amma Asante's birthplace is Streatham, London, England, UK.",3,Liked by less people in America,#38FFE1,1.0
22,<div id='movie'><h1><b>Selected Movies</b></h1><P>A Girl Walks Home Alone at Night: 1 vote</P></div>,"[1.3791, 51.38691]",Point,"Ana Lily Amirpour's birthplace is Margate, Kent, England, UK.",1,Liked by more people in America,#0600AD,1.0
23,<div id='movie'><h1><b>Selected Movies</b></h1><P>Fish Tank: 5 votes</p><p>Red Road: 2 votes</P></div>,"[0.22057, 51.44462]",Point,"Andrea Arnold's birthplace is Dartford, Kent, England, UK.",2,Liked by less people in China,#FADD5C,2.6457513110645907
24,<div id='movie'><h1><b>Selected Movies</b></h1><P>Shrek: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
25,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Assassination of Jesse James by the Coward Robert Ford: 3 votes</P></div>,"[174.7769, -41.28952]",Point,"Andrew Dominik's birthplace is Wellington, New Zealand.",2,Liked by less people in China,#FADD5C,1.7320508075688772
26,<div id='movie'><h1><b>Selected Movies</b></h1><P>Restless City: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
27,<div id='movie'><h1><b>Selected Movies</b></h1><P>Weekend: 4 votes</P></div>,"[-1.54445, 53.99466]",Point,"Andrew Haigh's birthplace is Harrogate, North Yorkshire, England, UK.",1,Liked by more people in America,#0600AD,2.0
29,<div id='movie'><h1><b>Selected Movies</b></h1><P>WALL-E: 11 votes</p><p>Finding Nemo: 1 vote</p><p>Finding Nemo: 1 vote</P></div>,"[-71.05674, 42.35866]",Point,"Andrew Stanton's birthplace is Boston, Massachusetts, USA.",2,Liked by less people in China,#FADD5C,3.605551275463989
30,<div id='movie'><h1><b>Selected Movies</b></h1><P>Finding Nemo: 3 votes</p><p>Finding Nemo: 3 votes</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,2.449489742783178
31,<div id='movie'><h1><b>Selected Movies</b></h1><P>Leviathan: 9 votes</p><p>Leviathan: 9 votes</p><p>The Return: 5 votes</p><p>Elena: 1 vote</P></div>,"[82.93574, 54.96165]",Point,"Andrey Zvyagintsev's birthplace is Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia].",2,Liked by less people in China,#FADD5C,4.898979485566356
32,<div id='movie'><h1><b>Selected Movies</b></h1><P>Katyn: 1 vote</P></div>,"[22.93938, 54.10161]",Point,"Andrzej Wajda's birthplace is Suwalki, Podlaskie, Poland.",2,Liked by less people in China,#FADD5C,1.0
33,<div id='movie'><h1><b>Selected Movies</b></h1><P>Cosmos: 1 vote</P></div>,"[24.01206, 49.83734]",Point,"Andrzej Zulawski's birthplace is Lwów, Lwowskie, Poland [now Lviv, Ukraine].",1,Liked by more people in America,#0600AD,1.0
34,<div id='movie'><h1><b>Selected Movies</b></h1><P>Night Will Fall: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
35,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Brokeback Mountain: 11 votes</p><p>Crouching Tiger, Hidden Dragon: 8 votes</p><p>Life of Pi: 1 vote</p><p>Lust, Caution: 1 vote</P></div>","[120.49142, 22.66209]",Point,"Ang Lee's birthplace is Pingtung, Taiwan.",4,Liked by more people in China,#FA3B00,4.58257569495584
36,<div id='movie'><h1><b>Selected Movies</b></h1><P>When I Saw You: 1 vote</P></div>,"[121.52445, 13.96829]",Point,"Annemarie Jacir's birthplace is Bethlehem, Palestine.",4,Liked by more people in China,#FA3B00,1.0
37,<div id='movie'><h1><b>Selected Movies</b></h1><P>Captain America: Winter Soldier: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.0
38,<div id='movie'><h1><b>Selected Movies</b></h1><P>Dev D: 1 vote</p><p>Gangs of Wasseypur: 1 vote</P></div>,"[83.37554, 26.75432]",Point,"Anurag Kashyap's birthplace is Gorakhpur, Uttar Pradesh, India.",1,Liked by more people in America,#0600AD,1.4142135623730951
39,<div id='movie'><h1><b>Selected Movies</b></h1><P>Uncle Boonmee Who Can Recall His Past Lives: 9 votes</p><p>Tropical Malady: 6 votes</p><p>Syndromes and a Century: 5 votes</p><p>Blissfully Yours: 1 vote</P></div>,"[100.50483, 13.75336]",Point,"Apichatpong Weerasethakul's birthplace is Bangkok, Thailand.",4,Liked by more people in China,#FA3B00,4.58257569495584
40,<div id='movie'><h1><b>Selected Movies</b></h1><P>Waltz with Bashir: 4 votes</p><p>The Congress: 2 votes</P></div>,"[35.00326, 32.80123]",Point,"Ari Folman's birthplace is Haifa, Israel.",2,Liked by less people in China,#FADD5C,2.449489742783178
41,<div id='movie'><h1><b>Selected Movies</b></h1><P>Kings and Queen: 1 vote</p><p>My Golden Days: 1 vote</P></div>,"[3.17318, 50.69143]",Point,"Arnaud Desplechin's birthplace is Roubaix, Nord, France.",2,Liked by less people in China,#FADD5C,1.4142135623730951
43,<div id='movie'><h1><b>Selected Movies</b></h1><P>Lagaan: Once Upon a Time in India: 2 votes</P></div>,"[74.24137, 16.70446]",Point,"Ashutosh Gowariker's birthplace is Kolhapur, Maharashtra, India.",1,Liked by more people in America,#0600AD,1.4142135623730951
44,<div id='movie'><h1><b>Selected Movies</b></h1><P>Senna: 1 vote</P></div>,"[-0.0553, 51.54505]",Point,"Asif Kapadia's birthplace is Hackney, London, England, UK.",2,Liked by less people in China,#FADD5C,1.0
45,<div id='movie'><h1><b>Selected Movies</b></h1><P>Selma: 5 votes</p><p>Middle of Nowhere: 1 vote</P></div>,"[-118.1924, 33.76672]",Point,"Ava DuVernay's birthplace is Long Beach, California, USA.",1,Liked by more people in America,#0600AD,2.449489742783178
46,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Matchmaker: 1 vote</P></div>,"[34.81498, 32.08364]",Point,"Avi Nesher's birthplace is Ramat Gan, Israel.",1,Liked by more people in America,#0600AD,1.0
47,<div id='movie'><h1><b>Selected Movies</b></h1><P>A Time for Drunken Horses: 1 vote</P></div>,"[45.91257, 35.97076]",Point,"Bahman Ghobadi's birthplace is Baneh, Iran.",2,Liked by less people in China,#FADD5C,1.0
48,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Imposter: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,4,Liked by more people in China,#FA3B00,1.0
49,<div id='movie'><h1><b>Selected Movies</b></h1><P>Moulin Rouge!: 6 votes</P></div>,"[147.01315, -32.16736]",Point,"Baz Luhrmann's birthplace is New South Wales, Australia.",1,Liked by more people in America,#0600AD,2.449489742783178
50,<div id='movie'><h1><b>Selected Movies</b></h1><P>Red Leaves: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.0
51,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers: 1 vote</P></div>,"[-3.04354, 51.06249]",Point,"Ben Rivers's birthplace is Somerset, England, UK.",2,Liked by less people in China,#FADD5C,1.0
52,<div id='movie'><h1><b>Selected Movies</b></h1><P>Tropic Thunder: 2 votes</P></div>,"[-74.00714, 40.71455]",Point,"Ben Stiller's birthplace is New York City, New York, USA.",1,Liked by more people in America,#0600AD,1.4142135623730951
53,<div id='movie'><h1><b>Selected Movies</b></h1><P>Kill List: 1 vote</P></div>,"[0.41695, 51.62485]",Point,"Ben Wheatley's birthplace is Billericay, Essex, England, UK.",2,Liked by less people in China,#FADD5C,1.0
54,<div id='movie'><h1><b>Selected Movies</b></h1><P>Beasts of the Southern Wild: 2 votes</P></div>,"[-74.00602, 40.71451]",Point,"Benh Zeitlin's birthplace is Manhattan, New York, USA.",2,Liked by less people in China,#FADD5C,1.4142135623730951
55,<div id='movie'><h1><b>Selected Movies</b></h1><P>Memories of Murder: 3 votes</p><p>Mother: 3 votes</p><p>The Host: 1 vote</P></div>,"[128.61034, 35.85402]",Point,"Bong Joon-ho's birthplace is Daegu, South Korea.",4,Liked by more people in China,#FA3B00,2.6457513110645907
56,<div id='movie'><h1><b>Selected Movies</b></h1><P>7 Letters: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,4,Liked by more people in China,#FA3B00,1.0
57,<div id='movie'><h1><b>Selected Movies</b></h1><P>Eldorado: 1 vote</P></div>,"[5.99582, 50.73077]",Point,"Bouli Lanners's birthplace is Moresnet-Chapelle, Belgium.",2,Liked by less people in China,#FADD5C,1.0
58,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Incredibles: 3 votes</P></div>,"[-114.315, 48.20189]",Point,"Brad Bird's birthplace is Kalispell, Montana, USA.",2,Liked by less people in China,#FADD5C,1.7320508075688772
59,<div id='movie'><h1><b>Selected Movies</b></h1><P>Ratatouille: 4 votes</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,2.0
61,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Turin Horse: 6 votes</p><p>Werckmeister Harmonies: 4 votes</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,3.1622776601683795
62,<div id='movie'><h1><b>Selected Movies</b></h1><P>Almost Famous: 4 votes</P></div>,"[-116.51196, 33.82321]",Point,"Cameron Crowe's birthplace is Palm Springs, California, USA.",2,Liked by less people in China,#FADD5C,2.0
63,<div id='movie'><h1><b>Selected Movies</b></h1><P>Battle in Heaven: 1 vote</p><p>Japon: 1 vote</p><p>Silent Light: 1 vote</P></div>,"[-99.24024, 19.36348]",Point,"Carlos Reygadas's birthplace is Mexico City, Distrito Federal, Mexico.",2,Liked by less people in China,#FADD5C,1.7320508075688772
64,<div id='movie'><h1><b>Selected Movies</b></h1><P>Fados: 1 vote</P></div>,"[-0.40919, 42.13357]",Point,"Carlos Saura's birthplace is Huesca, Aragón, Spain.",2,Liked by less people in China,#FADD5C,1.0
65,<div id='movie'><h1><b>Selected Movies</b></h1><P>Dreams of a Life: 1 vote</P></div>,"[-2.20039, 53.45688]",Point,"Carol Morley's birthplace is Stockport, Greater Manchester, England, UK.",2,Liked by less people in China,#FADD5C,1.0
66,<div id='movie'><h1><b>Selected Movies</b></h1><P>Sin Nombre: 1 vote</P></div>,"[-122.27307, 37.80508]",Point,"Cary Joji Fukunaga's birthplace is Oakland, California, USA.",1,Liked by more people in America,#0600AD,1.0
67,<div id='movie'><h1><b>Selected Movies</b></h1><P>Fat Girl: 2 votes</P></div>,"[-0.49175, 46.83993]",Point,"Catherine Breillat's birthplace is Bressuire, Deux-Sèvres, France.",2,Liked by less people in China,#FADD5C,1.4142135623730951
68,<div id='movie'><h1><b>Selected Movies</b></h1><P>Court: 1 vote</P></div>,"[72.88235, 19.14045]",Point,"Chaitanya Tamhane's birthplace is Mumbai, Maharashtra, India.",1,Liked by more people in America,#0600AD,1.0
69,<div id='movie'><h1><b>Selected Movies</b></h1><P>Almayer's Folly: 1 vote</p><p>No Home Movie: 1 vote</p><p>The Captive: 1 vote</P></div>,"[4.35609, 50.84439]",Point,"Chantal Akerman's birthplace is Brussels, Belgium.",2,Liked by less people in China,#FADD5C,1.7320508075688772
70,<div id='movie'><h1><b>Selected Movies</b></h1><P>Warming by the Devil's Fire: 1 vote</P></div>,"[-90.88155, 32.35004]",Point,"Charles Burnett's birthplace is Vicksburg, Mississippi, USA.",2,Liked by less people in China,#FADD5C,1.0
71,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Synecdoche, New York: 12 votes</P></div>","[-74.00714, 40.71455]",Point,"Charlie Kaufman's birthplace is New York City, New York, USA.",2,Liked by less people in China,#FADD5C,3.4641016151377544
72,<div id='movie'><h1><b>Selected Movies</b></h1><P>Frozen: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,4,Liked by more people in China,#FA3B00,1.0
73,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Clock: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
74,<div id='movie'><h1><b>Selected Movies</b></h1><P>Phoenix: 3 votes</p><p>Barbara: 1 vote</P></div>,"[6.93704, 51.17002]",Point,"Christian Petzold's birthplace is Hilden, North Rhine-Westphalia, Germany.",1,Liked by more people in America,#0600AD,2.0
75,<div id='movie'><h1><b>Selected Movies</b></h1><P>Best in Show: 1 vote</P></div>,"[-74.00714, 40.71455]",Point,"Christopher Guest's birthplace is New York City, New York, USA.",1,Liked by more people in America,#0600AD,1.0
76,<div id='movie'><h1><b>Selected Movies</b></h1><P>Four Lions: 1 vote</P></div>,"[-2.59168, 51.45379]",Point,"Christopher Morris's birthplace is Bristol, England, UK.",2,Liked by less people in China,#FADD5C,1.0
77,<div id='movie'><h1><b>Selected Movies</b></h1><P>Memento: 11 votes</p><p>The Dark Knight: 9 votes</p><p>Inception: 7 votes</p><p>The Prestige: 1 vote</P></div>,"[-0.12719, 51.50643]",Point,"Christopher Nolan's birthplace is London, England, UK.",2,Liked by less people in China,#FADD5C,5.291502622129181
78,<div id='movie'><h1><b>Selected Movies</b></h1><P>35 Shots of Rum: 5 votes</p><p>White Material: 3 votes</p><p>The Intruder: 2 votes</P></div>,"[2.3414, 48.85717]",Point,"Claire Denis's birthplace is Paris, France.",2,Liked by less people in China,#FADD5C,3.1622776601683795
79,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Last of the Unjust: 3 votes</P></div>,"[2.26733, 48.91354]",Point,"Claude Lanzmann's birthplace is Bois-Colombes, Hauts-de-Seine, France.",2,Liked by less people in China,#FADD5C,1.7320508075688772
80,<div id='movie'><h1><b>Selected Movies</b></h1><P>Letters From Iwo Jima: 3 votes</p><p>Million Dollar Baby: 3 votes</p><p>Gran Torino: 1 vote</p><p>Jersey Boys: 1 vote</p><p>Mystic River: 1 vote</P></div>,"[-122.41964, 37.77712]",Point,"Clint Eastwood's birthplace is San Francisco, California, USA.",2,Liked by less people in China,#FADD5C,3.0
81,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Arbor: 1 vote</P></div>,"[-1.54655, 53.7948]",Point,"Clio Barnard's birthplace is Otley, Leeds, West Yorkshire, England, UK.",1,Liked by more people in America,#0600AD,1.0
82,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Police, Adjective: 1 vote</P></div>","[27.73306, 46.6385]",Point,"Corneliu Porumboiu's birthplace is Vaslui, Romania.",2,Liked by less people in China,#FADD5C,1.0
83,<div id='movie'><h1><b>Selected Movies</b></h1><P>Frozen River: 1 vote</P></div>,"[-90.04925, 35.14976]",Point,"Courtney Hunt's birthplace is Memphis, Tennessee, USA.",2,Liked by less people in China,#FADD5C,1.0
84,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Death of Mr Lazarescu: 3 votes</p><p>Aurora: 1 vote</P></div>,"[26.10298, 44.43429]",Point,"Cristi Puiu's birthplace is Bucharest, Romania.",1,Liked by more people in America,#0600AD,2.0
85,"<div id='movie'><h1><b>Selected Movies</b></h1><P>4 Months, 3 Weeks & 2 Days: 17 votes</p><p>Beyond the Hills: 1 vote</P></div>","[27.58732, 47.1594]",Point,"Cristian Mungiu's birthplace is Iasi, Romania.",2,Liked by less people in China,#FADD5C,4.242640687119285
86,<div id='movie'><h1><b>Selected Movies</b></h1><P>Girlhood: 1 vote</P></div>,"[2.1006, 49.05061]",Point,"Céline Sciamma's birthplace is Pontoise, Val-d'Oise, France.",1,Liked by more people in America,#0600AD,1.0
87,<div id='movie'><h1><b>Selected Movies</b></h1><P>Whiplash: 2 votes</P></div>,"[-71.41199, 41.82387]",Point,"Damien Chazelle's birthplace is Providence, Rhode Island, USA.",2,Liked by less people in China,#FADD5C,1.4142135623730951
88,<div id='movie'><h1><b>Selected Movies</b></h1><P>Wild Tales: 3 votes</P></div>,"[-58.43257, -34.60556]",Point,"Damián Szifrón's birthplace is Ramos Mejía, Buenos Aires, Argentina.",4,Liked by more people in China,#FA3B00,1.7320508075688772
89,<div id='movie'><h1><b>Selected Movies</b></h1><P>Nightcrawler: 1 vote</P></div>,"[-118.49227, 34.01158]",Point,"Dan Gilroy's birthplace is Santa Monica, California, USA.",2,Liked by less people in China,#FADD5C,1.0
90,<div id='movie'><h1><b>Selected Movies</b></h1><P>No Man's Land: 2 votes</P></div>,"[17.91231, 44.19773]",Point,"Danis Tanovic's birthplace is Zenica, Bosnia and Herzegovina, Yugoslavia.",4,Liked by more people in China,#FA3B00,1.4142135623730951
91,<div id='movie'><h1><b>Selected Movies</b></h1><P>These Encounters of Theirs: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.0
92,<div id='movie'><h1><b>Selected Movies</b></h1><P>Requiem for a Dream: 3 votes</p><p>The Wrestler: 2 votes</p><p>Black Swan: 1 vote</P></div>,"[-73.99162, 40.70181]",Point,"Darren Aronofsky's birthplace is Brooklyn, New York City, New York, USA.",2,Liked by less people in China,#FADD5C,2.449489742783178
93,<div id='movie'><h1><b>Selected Movies</b></h1><P>A History of Violence: 6 votes</P></div>,"[-79.38544, 43.64869]",Point,"David Cronenberg's birthplace is Toronto, Ontario, Canada.",2,Liked by less people in China,#FADD5C,2.449489742783178
94,<div id='movie'><h1><b>Selected Movies</b></h1><P>Zodiac: 15 votes</p><p>The Social Network: 13 votes</p><p>The Curious Case of Benjamin Button: 2 votes</p><p>Gone Girl: 1 vote</P></div>,"[-104.99202, 39.74001]",Point,"David Fincher's birthplace is Denver, Colorado, USA.",2,Liked by less people in China,#FADD5C,5.5677643628300215
96,<div id='movie'><h1><b>Selected Movies</b></h1><P>Mulholland Drive: 47 votes</p><p>Inland Empire: 1 vote</P></div>,"[-113.99625, 46.87278]",Point,"David Lynch's birthplace is Missoula, Montana, USA.",2,Liked by less people in China,#FADD5C,6.928203230275509
97,<div id='movie'><h1><b>Selected Movies</b></h1><P>Animal Kingdom: 2 votes</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.4142135623730951
98,<div id='movie'><h1><b>Selected Movies</b></h1><P>The External World: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,4,Liked by more people in China,#FA3B00,1.0
